Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac;Precio Regulado 10% o 15% TAB;Precio Regulado X Pres.; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones;;
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;19200;19200;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;14700;14700;;;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;14700;14700;;;2239;Escobar Bustos Carmen del Pilar;1/05/2019;30/04/2020;;;2239;Escobar Bustos Carmen del Pilar
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;15000;15000;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;17900;17900;;;2530;Salud Drogas Uno A;13/09/2018;30/06/2020;;;2530;Salud Drogas Uno A
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;0;;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;14700;14700;;;2875;Offimedicas S.A.;1/06/2019;31/05/2020;;;2875;Offimedicas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;17000;17000;;;2761;Universidad Industrial de Santander;1/06/2019;31/03/2020;;;2761;Universidad Industrial de Santander
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;12300;12300;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;22100;22100;;;2891;Medical Group Anma SAS;1/05/2018;31/05/2019;;;2891;Medical Group Anma SAS
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;17000;17000;;;2674-INS;Farmacos de la Costa Ltda;1/12/2018;31/12/2019;;;2674-INS;Farmacos de la Costa Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;21000;21000;;;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;28000;28000;;;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;22015;22015;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;22741;22741;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;12300;12300;;;2475;IPS Biotech and Life S.A.;1/08/2019;30/07/2020;;;2475;IPS Biotech and Life S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2318;Helpharma S.A.;15/08/2019;14/08/2020;SURA;;2318;Helpharma S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 2564-INS ;Caja Colombiana de Subsidio Familiar Colsubsidio;15/08/2019;14/08/2020;SURA;;2564-INS;Caja Colombiana de Subsidio Familiar Colsubsidio
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1021-INS ;Caja Colombiana de Subsidio Familiar Colsubsidio;15/08/2019;14/08/2020;SURA;;1021-INS;Caja Colombiana de Subsidio Familiar Colsubsidio
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2931;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2931;Neuromedica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1106-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;1106-INS;Eticos Serrano Gomez Ltda.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 2075-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;2075-INS;Eticos Serrano Gomez Ltda.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 2172-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;2172-INS;Eticos Serrano Gomez Ltda.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1361-INS ;Dropopular S.A.;15/08/2019;14/08/2020;SURA;;1361-INS;Dropopular S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;1010;Audifarma S.A.;15/08/2019;14/08/2020;SURA;;1010;Audifarma S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1044-INS ;Caja De Comp. Fam. Comfandi;15/08/2019;14/08/2020;SURA;;1044-INS;Caja De Comp. Fam. Comfandi
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;1102;Deposito de Drogas Monaco S.A.;15/08/2019;14/08/2020;SURA;;1102;Deposito de Drogas Monaco S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1235-INS ;Eve Distribuciones S.A.S;15/08/2019;14/08/2020;SURA;;1235-INS;Eve Distribuciones S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 2775-INS ;Eve Distribuciones SAS;15/08/2019;14/08/2020;SURA;;2775-INS;Eve Distribuciones SAS
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;15/08/2019;14/08/2020;SURA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;1720;Cooperativa de Hospitales de A;15/08/2019;14/08/2020;SURA;;1720;Cooperativa de Hospitales de A
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2329;Grupo Afin Farmacéutica S.A.S;15/08/2019;29/02/2020;SURA;;2329;Grupo Afin Farmacéutica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2274;Comercializadora Mercaldas S.A.;15/08/2019;14/08/2020;SURA;;2274;Comercializadora Mercaldas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;10000;10000;;;2641;Organiz.Clinica General Norte;1/09/2019;28/02/2020;;;2641;Organiz.Clinica General Norte
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;12300;12300;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;; 1235-INS ;Eve Distribuciones S.A.S;15/08/2019;14/08/2020;MEDIMAS;;1235-INS;Eve Distribuciones S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;0;0;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;28000;28000;;;1492;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;1492;Cosmitet Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;28000;28000;;;2062;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2062;Cosmitet Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;28000;28000;;;2170;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2170;Cosmitet Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;28000;28000;;;2324;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2324;Cosmitet Ltda
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;;; 2063-INS ;Unidrogas S.A.;1/05/2019;31/12/2020;Electricaribe;;2063-INS;Unidrogas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;;; 2615-INS ;Unidrogas S.A.;1/05/2019;31/12/2020;Electricaribe;;2615-INS;Unidrogas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;;; 2576-INS ;Unidrogas S.A.;1/05/2019;31/12/2020;Electricaribe;;2576-INS;Unidrogas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20000;20000;;; 2711-INS ;Unidrogas S.A.;1/05/2019;31/12/2020;Electricaribe;;2711-INS;Unidrogas S.A.
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2967;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2967;Neuromedica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2971;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2971;Neuromedica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2987;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2987;Neuromedica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;20790;20790;;;2988;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2988;Neuromedica S.A.S
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;17000;17000;0;0;2858;Medisin SAS;1/09/2018;30/09/2019;;;2858;Medisin SAS
001-006-036;ABRILAR FCO 100 ML;Hedera Helix;1;14700;14700;0;0;2115;Offimedicas S.A.;1/06/2019;31/05/2020;;;2115;Offimedicas S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;34931;34931;;;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
