Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac;Precio Regulado 10% o 15% TAB;Precio Regulado X Pres; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones;;
001-006-034;ABRILAR JARABE FCO X 200 ML;Adapalene 01% Clindamicina 1%;1;26750;26750;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-036;ABRILAR FCO 100 ML;Adapalene 01% Clindamicina 1%;1;18196;18196;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-003;ACRYLARM GEL X 10 GRS;Adapalene 01% Clindamicina 1%;1;19700;19700;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-201;ACRYLARM PLUS X 10 G;Adapalene 01% Clindamicina 1%;1;20900;20900;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-622;ALACIR 30 MG X 30;Adapalene 01% Clindamicina 1%;1;1870;1870;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-623;ALACIR 60 MG X 30;Adapalene 01% Clindamicina 1%;1;3100;3100;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-001;ALERGIBON AVENA X 90 G;Adapalene 01% Clindamicina 1%;1;9120;9120;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-006;AMOXIDAL DUO X 14 COMP 875 MG;Adapalene 01% Clindamicina 1%;1;2300;2300;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-007;AMOXIDAL DUO 750 MG SUSP X 120 ML + AGUA + JERINGA;Adapalene 01% Clindamicina 1%;1;27500;27500;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-001;AMOXIDAL DUO SUSP 750 MG X 70 ML;Adapalene 01% Clindamicina 1%;1;22280;22280;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-678;AQUATOP CREMA X 250G;Adapalene 01% Clindamicina 1%;1;48000;48000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-008-161;ATERGIT 5 ML;Adapalene 01% Clindamicina 1%;1;43950;43950;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-027;AVITIL GEL X 50 G;Adapalene 01% Clindamicina 1%;1;53650;53650;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-002;BETAGRANULOS CREMA X 60 G;Adapalene 01% Clindamicina 1%;1;35550;35550;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-013;BETAPIROX CHAMPU X 120 ML;Adapalene 01% Clindamicina 1%;1;30000;30000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-021;BETARRETIN 0025% CREMA X 30  G;Adapalene 01% Clindamicina 1%;1;30500;30500;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-041;BETARRETIN 005% CREMA X 30 G;Adapalene 01% Clindamicina 1%;1;12000;12000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-031;BETARRETIN 0025% GEL X 30 G;Adapalene 01% Clindamicina 1%;1;29900;29900;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-069;BETARRETIN H CREMA X 30G  HQ 4%;Adapalene 01% Clindamicina 1%;1;32830;32830;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-073;BETARRETIN H LOCION x 60 ML HQ 4%;Adapalene 01% Clindamicina 1%;1;37450;37450;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-051;BETARRETIN 005% LOCION X 60  ML;Adapalene 01% Clindamicina 1%;1;23000;23000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-006;BETAZOL CREMA X 30 G;Adapalene 01% Clindamicina 1%;1;17600;17600;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-001-091;BETAZOL LOCION X 60 ML;Adapalene 01% Clindamicina 1%;1;24750;24750;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-061;BONAC GEL 4% X 30 G;Adapalene 01% Clindamicina 1%;1;15000;15000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-071;BONAC LOCION X 60 ML;Adapalene 01% Clindamicina 1%;1;26400;26400;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-013-005;Botemib  35mg/10ml Polvo para solución inyectable x 1 PT;Adapalene 01% Clindamicina 1%;1;728000;728000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-085;CETOPIC X 50 G;Adapalene 01% Clindamicina 1%;1;56360;56360;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-401;CEUMID 1000 MG X 30;Adapalene 01% Clindamicina 1%;1;750;750;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-411;CEUMID 500 MG X 30;Adapalene 01% Clindamicina 1%;1;410;410;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-550;CICLORELAX 10 MG X 20 TABS;Adapalene 01% Clindamicina 1%;1;1150;1150;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-125;DERMACORTINE CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;33200;33200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-128;DERMACORTINE EMULSION X 60 ML;Adapalene 01% Clindamicina 1%;1;70800;70800;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-126;DERMACORTINE LOCION X 30 ML;Adapalene 01% Clindamicina 1%;1;56200;56200;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-133;DERMOSUPRIL 005% CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;12000;12000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-143;DERMOSUPRIL 01% CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;11000;11000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-163;DERMOSUPRIL EMULSION X 120 ML;Adapalene 01% Clindamicina 1%;1;32000;32000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-131;DESONIDA CREMA 005 % X 15 G;Adapalene 01% Clindamicina 1%;1;5000;5000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-141;DESONIDA CREMA 01 % X 15 G;Adapalene 01% Clindamicina 1%;1;5000;5000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-151;DESONIDA CLIOQUINOL CREMA X 15 G;Adapalene 01% Clindamicina 1%;1;13700;13700;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-161;DESONIDA EMULSION X 120 ML;Adapalene 01% Clindamicina 1%;1;23600;23600;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-004-171;DESONIDA LOCION X 30 ML;Adapalene 01% Clindamicina 1%;1;16100;16100;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-078;DEXLANZOPRAL 30 MG X 30 Caps;Adapalene 01% Clindamicina 1%;1;4300;4300;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-079;DEXLANZOPRAL 60 MG X 30 Caps;Adapalene 01% Clindamicina 1%;1;5400;5400;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-060;DORIXINA RELAX X 100 COMP;Adapalene 01% Clindamicina 1%;1;1150;1150;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-053;DORIXINA RELAX X 20 COMP;Adapalene 01% Clindamicina 1%;1;1400;1400;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-613;EDAPIL CHAMPU X 120 ML;Adapalene 01% Clindamicina 1%;1;52000;52000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-614;EDAPIL ESPUMA LOCIÓN X 150 ML;Adapalene 01% Clindamicina 1%;1;119000;119000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-500-181;EMOLIN NEO X 240 G;Adapalene 01% Clindamicina 1%;1;41000;41000;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
001-006-054;ENDIAL 1 MG X 20 COMP;Adapalene 01% Clindamicina 1%;1;1180;1180;;; 2063-INS ;Unidrogas SA;01/07/2018;31/12/2019;Bavaria;;;
