Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac; Precio Regulado 10% o 15% TAB ; Precio Regulado X Pres. ; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones
001-013-005;Botemib  35mg/10ml Polvo para solución inyectable x 1 PT;Bortezomib 35 mg;1;450000;450000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;Corta Fecha vencimiento y Elaborar NC pendiente vendedor
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;28000;28000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-622;ALACIR 30 MG X 30;Duloxetina 30 mg;30;780;23400;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-623;ALACIR 60 MG X 30;Duloxetina 60 mg;30;1200;36000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-006;ARAMAX 5/100 X 30 CAPSULAS;Amlodipino 5 mg + Losartan 100 mg;30;2700;81000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-001-091;BETAZOL LOCION X 60 ML;Propionato de Clobetasol 005%;1;27810;27810;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-005;Botemib  35mg/10ml Polvo para solución inyectable x 1 PT;Bortezomib 35 mg;1;630000;630000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-007;Botemib 25 mg/10 ml Polvo para solución inyectable x 1;Bortezomib 25 mg;1;440000;440000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-191;BRISEN 5 MG CAJA X 30 TABLETAS;Ambrisentan;30;160636;4819080;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-192;BRISEN 10 MG CAJA X 30 TABLETAS;Ambrisentan;30;321271;9638130;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-019;CANDEPREX 16 MG X 30 TAB;Candesartán Cilexetilo 16 mg;30;840;25200;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-020;CANDEPREX 32 MG X 30 TAB;Candesartán Cilexetilo 32 mg;30;1700;51000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-021;CANDEPREX 8 MG X 30 TAB;Candesartán Cilexetilo 8 mg;30;420;12600;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
