CódigoAxapta;Nombrecomercialproducto;PrincipioActivo;contenido;Precioaprobadoxumc;Precioaprobadoxpresentac;PrecioRegulado10%o15%TAB;PrecioReguladoXPres;códigocliente;NombreCliente;VigenciaDesde;Hasta;Convenio;Observaciones
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18000;18000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-201;ACRYLARM PLUS X 10 G;Acido Poliacrílico 2 mg (Carbomero 02%);1;32000;32000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-622;ALACIR 30 MG X 30;Duloxetina 30 mg;30;1000;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-623;ALACIR 60 MG X 30;Duloxetina 60 mg;30;1400;42000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-001;ALGI B CAJA X 20 TABLETAS;Acetaminofen 325 mg + Tizanidina 2 mg;20;620;12400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-004;APROLAC 80 MG CAJA X 30 TABLETAS;Isoflavonas de Soya 80 mg;30;480;14400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-009;ARTRICLOX 15 MG CAJA X 10 TAB;Meloxicam 15 mg;10;440;4400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-010;ARTRICLOX 15 MG X 1 AMPOLLA;Meloxicam 15 mg / 15 ML;1;4000;4000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-161;ATERGIT 5 ML;Epinastina HCl 005% solución oftálmica;1;45000;45000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-006;BETAZOL CREMA X 30 G;Propionato de Clobetasol 005%;1;19000;19000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-007;BETAZOL ESPUMA X 50 G;Clobetasol Propionato 005%;1;35000;35000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-001-091;BETAZOL LOCION X 60 ML;Propionato de Clobetasol 005%;1;25000;25000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-027;CARVEDIL 125 MG CAJA X 30 TAB;Carvedilol 125 mg;30;90;2700;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-029;CARVEDIL 25 MG CAJA X 30 TAB;Carvedilol 25 mg;30;98;2940;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-031;CARVEDIL 625 MG X 30 TABLETAS;Carvedilol 625 mg;30;75;2250;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-401;CEUMID 1000 MG X 30;Levetiracetam 1000 mg;30;900;27000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-411;CEUMID 500 MG X 30;Levetiracetam 500 mg;30;400;12000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-125;DERMACORTINE CREMA X 15 G;Mometasona Furoato 01%;1;37000;37000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-128;DERMACORTINE EMULSION X 60 ML;Mometasona Furoato 01%;1;68000;68000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-124;DERMACORTINE ESPUMA X 50 G;Mometasona Furoato 01%;1;60000;60000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-126;DERMACORTINE LOCION X 30 ML;Mometasona Furoato 01%;1;55300;55300;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-133;DERMOSUPRIL 005% CREMA X 15 G;Desonida 005%;1;12000;12000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-143;DERMOSUPRIL 01% CREMA X 15 G;Desonida 01%;1;12000;12000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-163;DERMOSUPRIL EMULSION X 120 ML;Desonida 005%;1;36000;36000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-129;DERMOSUPRIL ESPUMA X 50 G;Desonida Micronizada 005%;1;37000;37000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-151;DESONIDA CLIOQUINOL CREMA X 15 G;Desonida 01 g + Clioquinol 3 g;1;17000;17000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-131;DESONIDA CREMA 005 % X 15 G;Desonida 005%;1;4500;4500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-141;DESONIDA CREMA 01 % X 15 G;Desonida 01%;1;4500;4500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-161;DESONIDA EMULSION X 120 ML;Desonida 005%;1;25000;25000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-171;DESONIDA LOCION X 30 ML;Desonida 01%;1;20000;20000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-060;DORIXINA RELAX X 100 COMP;Clonixinato de Lisina 125 mg Ciclobenzaprina Clorhidrato 5 mg;100;1300;130000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-053;DORIXINA RELAX X 20 COMP;Clonixinato de Lisina 125 mg Ciclobenzaprina Clorhidrato 5 mg;20;1500;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-044;DUOVAL 10/160 MG  X 30 TABLETAS;Amlodipino 10 mg + Valsartan 160 mg;30;1500;45000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-045;DUOVAL 5/160 MG  X 30 TABLETAS;Amlodipino 5 mg + Valsartan 160 mg;30;1000;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-046;DUOVAL 5/80 MG  X 30 TABLETAS;Amlodipino 5 mg + Valsartan 80 mg;30;900;27000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-047;DUOVAL H 10/160/125 MG X 30 TAB;Amlodipino 10 mg + Valsartan 160 mg + Hidroclorotiazida 125 mg;30;2500;75000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-048;DUOVAL H 5/160/125 MG X 30 TAB;Amlodipino 5 mg + Valsartan 160 mg + Hidroclorotiazida 125 mg;30;1500;45000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-013-004;ERITROPOYETINA 2000 UI JERIN PRELL  CAJA X 100;Eritropoyetina alfa humana recombinante 2000 UI;100;3894;389400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-013-008;ERITROPOYETINA 4000 UI JERIN PRELL  CAJA X 100;Eritropoyetina alfa humana recombinante 4000 UI;100;6810;681000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-049;ESOMAX 10 MG CAJA X 28 CAP;Esomeprazol 10 mg;28;550;15400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-052;ESOMAX 40 MG CAJA X 28 CAP;Esomeprazol 40 mg;28;2000;56000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-054;FENOLIP  200 MG CAJA X 30 CAPSULA;Fenofibrato 200 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-055;FENTRADOL 120 MG X 10 TABLETAS;Fexofenadina 120 mg;10;1000;10000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-057;FENTRADOL 180 MG X 10 TABLETAS;Fexofenadina 180 mg;10;1400;14000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-058;FIBROLIP 100 MG CAJA X 30 TABLETAS;Ciprofibrato 100 mg;30;300;9000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-007;FOTORRETIN FCO 5 ML;Fenilefrina 50% + Tropicamida 05%;1;9300;9300;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-063;GASPRID M 5 MG X 30 TABLETAS;Mosaprida 5 mg ;30;260;7800;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-013-006;GATIDEX SUSP OFTALMICA X 5 ML;Gatifloxacina 03% Dexametasona 01%;1;60000;60000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-221;GLAUCOMED X10 TABLETAS;Acetazolamida 250 mg;10;350;3500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-019;GLAUCOPROST 3 ML;Travoprost 0004%;1;42000;42000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-008;GLAUCOTENSIL T 5 ML;Timolol maleato 05% - Dorzolamida 2%;1;50000;50000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-071;IBANAT 150 MG X 1 TABLETA;Acido Ibandronico 150 mg;1;13000;13000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-421;ILIMIT 15 MG X 30;Aripiprazol 15 mg;30;500;15000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-072;IRBEPREX 150 MG CAJA X 30 TAB;Irbesartan 150 mg;30;556;16680;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-073;IRBEPREX 300 MG CAJA X 30 TAB;Irbesartan 300 mg;30;700;21000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
